Name,Price,Rating,Reviews,URL,Item_Type,Timestamp
Blink Subscription Plus Plan with monthly auto-renewal,11.99,4.4,268631,https://www.amazon.com/Blink-Plus-Plan-monthly-auto-renewal/dp/B08JHCVHTY/ref=zg_bs_g_electronics_d_sccl_1/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:27.081783+00:00
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",17.99,4.6,22809,https://www.amazon.com/Apple-EarPods-Headphones-Built-Control/dp/B0DCH8VDXF/ref=zg_bs_g_electronics_d_sccl_2/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:29.088204+00:00
"Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",64.98,4.8,38398,https://www.amazon.com/Apple-MX542LL-A-AirTag-Pack/dp/B0D54JZTHY/ref=zg_bs_g_electronics_d_sccl_3/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:30.179263+00:00
"Amazon Kindle 16 GB (newest model) - Lightest and most compact Kindle, now with faster page turns, and higher contrast ratio, for an enhanced reading experience - Matcha",89.99,4.6,12457,https://www.amazon.com/Amazon-Kindle/dp/B0CNVCQZG1/ref=zg_bs_g_electronics_d_sccl_4/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:31.932689+00:00
"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",24,4.7,49839,https://www.amazon.com/Apple-MX532LL-A-AirTag/dp/B0CWXNS552/ref=zg_bs_g_electronics_d_sccl_5/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:34.107756+00:00
"Apple AirPods Pro 3 Wireless Earbuds, Active Noise Cancellation, Live Translation, Heart Rate Sensing, Hearing Aid Feature, Bluetooth Headphones, Spatial Audio, High-Fidelity Sound, USB-C Charging",239.95,4.4,3730,https://www.amazon.com/Apple-Cancellation-Translation-Headphones-High-Fidelity/dp/B0FQFB8FMG/ref=zg_bs_g_electronics_d_sccl_6/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:35.450159+00:00
"Surge Protector Power Strip - HANYCONY 8 Outlets 4 USB (2 USB C) Charging Ports, Multi Plug Outlet Extender, 5Ft Braided Extension Cord, Flat Plug Wall Mount Desk Charging Station for Home Office ETL",11.99,4.8,62813,https://www.amazon.com/Surge-Protector-Power-Strip-Extension/dp/B092J8LPWR/ref=zg_bs_g_electronics_d_sccl_7/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:36.753688+00:00
"Amazon Fire TV Stick 4K Plus (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.8 million movies and shows, free & live TV",49.99,4.7,98970,https://www.amazon.com/Amazon-newest-AI-powered-Search-million/dp/B0F7Z4QZTT/ref=zg_bs_g_electronics_d_sccl_8/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:39.029715+00:00
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",299.99,4.8,16414,https://www.amazon.com/Apple-iPad-11-inch-Display-All-Day/dp/B0DZ75TN5F/ref=zg_bs_g_electronics_d_sccl_9/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:41.287209+00:00
"6 Ft Surge Protector Power Strip - 8 Widely Outlets with 4 USB Ports, 3 Side Outlet Extender with 6 Feet Extension Cord, Flat Plug, Wall Mount, Desk USB Charging Station, ETL,White",9.99,4.6,44623,https://www.amazon.com/Surge-Protector-Power-Strip-Extension/dp/B09PDLBFKY/ref=zg_bs_g_electronics_d_sccl_10/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:42.382735+00:00
"Amazon Fire TV Stick 4K Select (newest model), start streaming in 4K, AI-powered search, and free & live TV",39.99,3.9,2293,https://www.amazon.com/amazon-fire-tv-stick-4K-select/dp/B0C6W3D4RM/ref=zg_bs_g_electronics_d_sccl_11/138-2279462-5595515?psc=1,Organic,2026-01-06T02:10:44.587784+00:00
